no|addr_section_1|addr_section_2
1|서울특별시|종로구
2|서울특별시|중구
3|서울특별시|용산구
4|서울특별시|성동구
5|서울특별시|광진구
6|서울특별시|동대문구
7|서울특별시|중랑구
8|서울특별시|성북구
9|서울특별시|강북구
10|서울특별시|도봉구
11|서울특별시|노원구
12|서울특별시|은평구
13|서울특별시|서대문구
14|서울특별시|마포구
15|서울특별시|양천구
16|서울특별시|강서구
17|서울특별시|구로구
18|서울특별시|금천구
19|서울특별시|영등포구
20|서울특별시|동작구
21|서울특별시|관악구
22|서울특별시|서초구
23|서울특별시|강남구
24|서울특별시|송파구
25|서울특별시|강동구
26|부산광역시|중구
27|부산광역시|서구
28|부산광역시|동구
29|부산광역시|영도구
30|부산광역시|부산진구
31|부산광역시|동래구
32|부산광역시|남구
33|부산광역시|북구
34|부산광역시|해운대구
35|부산광역시|사하구
36|부산광역시|금정구
37|부산광역시|강서구
38|부산광역시|연제구
39|부산광역시|수영구
40|부산광역시|사상구
41|부산광역시|기장군
42|대구광역시|중구
43|대구광역시|동구
44|대구광역시|서구
45|대구광역시|남구
46|대구광역시|북구
47|대구광역시|수성구
48|대구광역시|달서구
49|대구광역시|달성군
50|대구광역시|달성군
51|인천광역시|중구
52|인천광역시|동구
53|인천광역시|미추홀구
54|인천광역시|연수구
55|인천광역시|남동구
56|인천광역시|부평구
57|인천광역시|계양구
58|인천광역시|서구
59|인천광역시|강화군
60|인천광역시|옹진군
61|광주광역시|동구
62|광주광역시|서구
63|광주광역시|남구
64|광주광역시|북구
65|광주광역시|광산구
66|대전광역시|동구
67|대전광역시|중구
68|대전광역시|서구
69|대전광역시|유성구
70|대전광역시|대덕구
71|울산광역시|중구
72|울산광역시|남구
73|울산광역시|동구
74|울산광역시|북구
75|울산광역시|울주군
76|세종특별자치시|세종특별자치시
77|경기도|수원시
78|경기도|성남시
79|경기도|의정부시
80|경기도|안양시
81|경기도|부천시
82|경기도|광명시
83|경기도|평택시
84|경기도|동두천시
85|경기도|안산시
86|경기도|고양시
87|경기도|과천시
88|경기도|구리시
89|경기도|남양주시
90|경기도|오산시
91|경기도|시흥시
92|경기도|군포시
93|경기도|의왕시
94|경기도|하남시
95|경기도|용인시
96|경기도|파주시
97|경기도|이천시
98|경기도|안성시
99|경기도|김포시
100|경기도|화성시
101|경기도|광주시
102|경기도|양주시
103|경기도|포천시
104|경기도|여주시
105|강원도|춘천시
106|강원도|원주시
107|강원도|강릉시
108|강원도|동해시
109|강원도|태백시
110|강원도|속초시
111|강원도|삼척시
112|강원도|홍천군
113|강원도|횡성군
114|강원도|영월군
115|강원도|평창군
116|강원도|정선군
117|강원도|철원군
118|강원도|화천군
119|강원도|양구군
120|강원도|인제군
121|강원도|고성군
122|강원도|양양군
123|충청북도|청주시
124|충청북도|충주시
125|충청북도|제천시
126|충청북도|보은군
127|충청북도|옥천군
128|충청북도|영동군
129|충청북도|증평군
130|충청북도|진천군
131|충청북도|괴산군
132|충청북도|음성군
133|충청북도|단양군
134|충청남도|천안시
135|충청남도|보령시
136|충청남도|아산시
137|충청남도|서산시
138|충청남도|논산시
139|충청남도|계룡시
140|충청남도|당진시
141|충청남도|금산군
142|충청남도|부여군
143|충청남도|서천군
144|충청남도|청양군
145|충청남도|홍성군
146|충청남도|예산군
147|충청남도|태안군
148|전라북도|전주시
149|전라북도|군산시
150|전라북도|익산시
151|전라북도|정읍시
152|전라북도|남원시
153|전라북도|김제시
154|전라북도|완주군
155|전라북도|진안군
156|전라북도|무주군
157|전라북도|장수군
158|전라북도|임실군
159|전라북도|순창군
160|전라북도|고창군
161|전라북도|부안군
162|전라남도|목포시
163|전라남도|여수시
164|전라남도|순천시
165|전라남도|나주시
166|전라남도|광양시
167|전라남도|담양군
168|전라남도|곡성군
169|전라남도|구례군
170|전라남도|고흥군
171|전라남도|보성군
172|전라남도|화순군
173|전라남도|장흥군
174|전라남도|강진군
175|전라남도|해남군
176|전라남도|영암군
177|전라남도|무안군
178|전라남도|함평군
179|전라남도|영광군
180|전라남도|장성군
181|전라남도|완도군
182|전라남도|진도군
183|전라남도|신안군
184|경상북도|포항시
185|경상북도|경주시
186|경상북도|김천시
187|경상북도|안동시
188|경상북도|구미시
189|경상북도|영주시
190|경상북도|영천시
191|경상북도|상주시
192|경상북도|문경시
193|경상북도|경산시
194|경상북도|군위군
195|경상북도|의성군
196|경상북도|청송군
197|경상북도|영양군
198|경상북도|영덕군
199|경상북도|청도군
200|경상북도|고령군
201|경상북도|성주군
202|경상북도|칠곡군
203|경상북도|예천군
204|경상북도|봉화군
205|경상북도|울진군
206|경상북도|울릉군
207|경상남도|창원시
208|경상남도|진주시
209|경상남도|통영시
210|경상남도|사천시
211|경상남도|김해시
212|경상남도|밀양시
213|경상남도|거제시
214|경상남도|양산시
215|경상남도|의령군
216|경상남도|함안군
217|경상남도|창녕군
218|경상남도|고성군
219|경상남도|남해군
220|경상남도|하동군
221|경상남도|산청군
222|경상남도|함양군
223|경상남도|거창군
224|경상남도|합천군
225|제주특별자치도|제주시
226|제주특별자치도|서귀포시
